路径	类型	新状态	依据
D:\博士\Protein contour\Phospho\biophys_json\O95190.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95196.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95197.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95198.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95199.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95201.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95202.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95206.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95208.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95210.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95214.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95218.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95219.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95221.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95222.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95229.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95231.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95232.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95235.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95236.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95237.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95238.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95239.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95243.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95248.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95249.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95251.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95255.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95256.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95257.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95258.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95259.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95260.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95263.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95264.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95267.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95271.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95273.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95274.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95278.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95279.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95292.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95294.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95295.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95297.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95298.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95299.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95302.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95319.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95336.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95340.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95342.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95343.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95347.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95352.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95359.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95361.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95363.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95365.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95371.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95372.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95373.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95376.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95377.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95379.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95382.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95388.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
D:\博士\Protein contour\Phospho\biophys_json\O95389.json	数据表	活	Phospho\0331.py:198（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:232（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\*.json）；Phospho\0331.py:326（读取，通配 D:\博士\Protein contour\Phospho\biophys_json\{uniprot_id}.json）；另有 21 条引用；另有 1 条解析不确定的引用
